ID;Datum;Name;Beschreibung;Typ;IMP;PRB;MAG;Owner;Gegenmaßnahme
1;16.11.2022;Project Manager verlässt im nächsten Semester das Team; Der Project Manager verlässt das Team mit Beginn des Sommersemesters 2023.; Ressourcen ;3;100%;3;Projektmanagement und Team; Stellvertreter festlegen, welcher von Anfang an alle Aufgaben gemeinsam mit dem Project Manager bearbeitet, damit im neuen Semester keine Einarbeitung notwendig ist.
2;16.11.2022;Mangelhafte Kommunikation (intern);Durch mangelhafte Kommunikation können Missverständnisse entstehen, welche den Fortschritt des Projektes gefährden.;Geschäftlich;4;50%;2;Team;Durch wöchentliche Meetings können Fehler und Probleme schnell besprochen und gelöst werden.
3;21.11.2022;Fehlerhaftes / Unvollständiges Verständnis der Anforderungen;Die Anforderungen müssen von allen Teammitgliedern verstanden werden, bei offenen Fragen dürfen keine Annahmen notiert werden.;Geschäftlich;5;70%;3,5;Analyse, Team;Durch regelmässigen Austausch mit dem Auftraggeber sowie gutes vorbereiten der Meetings mit ihm kann dieses Risiko minimiert werden.
4;21.11.2022;Fehlendes Know-how;Durch Vorgaben an die Programmiersprache sowie das Framework kann es dazu kommen, dass es dem Team aktuell am Know-how fehlt, das Projekt praktisch umsetzen zu können.;Technisch;5;50%;2,5;Team;Durch Austausch über die vorgegebene Programmiersprache sowie das Framework können Teammitglieder, welche bereits Erfahrung diesbezüglich haben, ihr Wissen mit dem Rest des Teams teilen. Sollte es im Team niemanden mit Erfahrung in diesem Bereich geben, müssen sich die Teammitglieder in Eigenarbeit die Grundlagen aneignen. Im Falle des Frameworks sollte ein Teammitglied sich näher damit beschäftigen und danach entscheiden, ob das Framework für das Projekt geeignet ist. 
5;21.11.2022;Lizenzierung;Durch das vorgegebene Framework oder durch Bibliotheken der vorgegebenen Programmiersprache kann es zu Lizenzproblemen kommen.;Geschäftlich;5;25%;2;Projektmanagement, Architekt;Sollte es bei benötigten Bibliotheken oder beim Framework zu Lizenzproblemen kommen, muss nach Absprache mit dem Auftraggeber eine Alternative gefunden werden. Daher ist es wichtig, dass sich die Lizenzvereinbarungen beim Einbinden einer neuen Bibliothek durchgelesen werden. 
6;06.12.2022;Falsche Priorisierung der geplanten Features;Durch falsche Priorisierung der geplanten Features kann es dazu kommen, dass der Kunde den Prototyp ablehnt, da er nicht über die Kernfunktionalitäten verfügt.;Technisch, Geschäftlich;5;40%;2;Analyse;Die Priorität der einzelnen Features muss klar mit dem Auftraggeber abgesprochen werden.
7;06.12.2022;Missverständnis bezüglich der Serverstruktur;Es muss geklärt werden, ob der Server nur innerhalb eines Netzes oder von überall aus erreichbar sein soll.;Technisch;2;100%;2;Analyse, Architekt;Dieses Problem tritt garantiert auf, kann jedoch in einem Gespräch mit dem Auftraggeber leicht geklärt werden. Nach Einigung mit dem Auftraggeber muss die Antwort in der Analyse berücksichtigt werden. Zudem muss sich der Architekt gegebenenfalls Gedanken über die Umsetzung unter der neuen Bedingung machen. 
8;16.12.2022;Festlegen der Testumgebung;Da die Fahrroboter weder selbstständig fahren noch gezielt angesteuert werden können muss geklärt werden, wie die Tests ablaufen werden.;Technisch;3;80%;2,4;Tester;Es muss nach Rücksprache mit dem Auftraggeber festgelegt werden, wie ein Test simuliert werden kann.
9;-;-;-;-;-;-;-;-;-
10;-;-;-;-;-;-;-;-;-
